Id,TrainNo,SourceCode,DestinationCode,Cars,StartingFrom,EndAt,DepartureTime,ArrivalTime,Type,Quota,DaysOfRun
44,47117,Hyderabad,Khairatabad,NA,Hyderabad,Lingampally,4:50PM,4:55PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
45,47118,Hyderabad,Khairatabad,NA,Hyderabad,Lingampally,5:35PM,5:40PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
46,47119,Hyderabad,Khairatabad,NA,Hyderabad,Lingampally,6:05PM,6:10PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
47,47120,Hyderabad,Khairatabad,NA,Hyderabad,Lingampally,7:00PM,7:05PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
48,47121,Hyderabad,Khairatabad,NA,Hyderabad,Lingampally,7:30PM,7:35PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
49,47122,Hyderabad,Khairatabad,NA,Hyderabad,Lingampally,8:00PM,8:05PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
50,47123,Hyderabad,Khairatabad,NA,Hyderabad,Lingampally,8:50PM,8:55PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
51,47124,Hyderabad,Khairatabad,NA,Hyderabad,Lingampally,9:20PM,9:25PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
52,47125,Hyderabad,Khairatabad,NA,Hyderabad,Lingampally,9:50PM,9:55PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
53,47100,Hyderabad,Necklace,NA,Hyderabad,Lingampally,5:10AM,5:17AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
54,47101,Hyderabad,Necklace,NA,Hyderabad,Lingampally,6:00AM,6:07AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
55,47102,Hyderabad,Necklace,NA,Hyderabad,Lingampally,6:40AM,6:47AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
56,47103,Hyderabad,Necklace,NA,Hyderabad,Lingampally,7:20AM,7:27AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
57,47104,Hyderabad,Necklace,NA,Hyderabad,Lingampally,7:50AM,7:57AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
58,47105,Hyderabad,Necklace,NA,Hyderabad,Lingampally,8:20AM,8:27AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
59,47106,Hyderabad,Necklace,NA,Hyderabad,Lingampally,9:00AM,9:07AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
60,47107,Hyderabad,Necklace,NA,Hyderabad,Lingampally,9:35AM,9:42AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
61,47108,Hyderabad,Necklace,NA,Hyderabad,Lingampally,10:10AM,10:17AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
62,47109,Hyderabad,Necklace,NA,Hyderabad,Lingampally,10:50AM,10:57AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
63,47110,Hyderabad,Necklace,NA,Hyderabad,Lingampally,11:25AM,11:32AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
64,47111,Hyderabad,Necklace,NA,Hyderabad,Lingampally,11:55AM,12:02PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
65,47112,Hyderabad,Necklace,NA,Hyderabad,Lingampally,1:05PM,1:12PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
66,47113,Hyderabad,Necklace,NA,Hyderabad,Lingampally,2:30PM,2:37PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
67,47114,Hyderabad,Necklace,NA,Hyderabad,Lingampally,3:10PM,3:17PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
68,47115,Hyderabad,Necklace,NA,Hyderabad,Lingampally,3:40PM,3:47PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
69,47116,Hyderabad,Necklace,NA,Hyderabad,Lingampally,4:00PM,4:07PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
70,47117,Hyderabad,Necklace,NA,Hyderabad,Lingampally,4:50PM,4:57PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
71,47118,Hyderabad,Necklace,NA,Hyderabad,Lingampally,5:35PM,5:42PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
72,47119,Hyderabad,Necklace,NA,Hyderabad,Lingampally,6:05PM,6:12PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
73,47120,Hyderabad,Necklace,NA,Hyderabad,Lingampally,7:00PM,7:07PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
74,47121,Hyderabad,Necklace,NA,Hyderabad,Lingampally,7:30PM,7:37PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
75,47122,Hyderabad,Necklace,NA,Hyderabad,Lingampally,8:00PM,8:07PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
76,47123,Hyderabad,Necklace,NA,Hyderabad,Lingampally,8:50PM,8:57PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
77,47124,Hyderabad,Necklace,NA,Hyderabad,Lingampally,9:20PM,9:27PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
78,47125,Hyderabad,Necklace,NA,Hyderabad,Lingampally,9:50PM,9:57PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
79,47100,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,5:10AM,5:22AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
80,47101,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,6:00AM,6:12AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
81,47102,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,6:40AM,6:52AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
82,47103,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,7:20AM,7:32AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
83,47104,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,7:50AM,8:02AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
84,47105,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,8:20AM,8:32AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
85,47106,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,9:00AM,9:12AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
86,47107,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,9:35AM,9:47AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
87,47108,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,10:10AM,10:22AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
88,47109,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,10:50AM,11:02AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
89,47110,Hyderabad,Begumpet,NA,Hyderabad,Lingampally,11:25AM,11:37AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
