Source,Destination,Duration,Route,Stations,Interchanges,Normal Fare
Airport,Nehru Park,39Min,@Blue: Airport: Meenambakkam: Nanganallur Road:;@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT: Koyambedu: Thirumangalam: Anna Nagar Tower: Anna Nagar East: Shenoy Nagar: Pachaiyappas College: Kilpauk Medical College: Nehru Par,17,1,55
Airport,Pachaiyappas College,35Min,@Blue: Airport: Meenambakkam: Nanganallur Road:;@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT: Koyambedu: Thirumangalam: Anna Nagar Tower: Anna Nagar East: Shenoy Nagar: Pachaiyappas College:,15,1,50
Airport,Saidapet,19Min,@Blue: Airport: Meenambakkam: Nanganallur Road: Alandur: Guindy: Little Mount: Saidapet:,7,0,35
Airport,Shenoy Nagar,33Min,@Blue: Airport: Meenambakkam: Nanganallur Road:;@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT: Koyambedu: Thirumangalam: Anna Nagar Tower: Anna Nagar East: Shenoy Nagar:,14,1,50
Airport,St Thomas Mount,12Min,@Blue: Airport: Meenambakkam: Nanganallur Road:;@Green: Alandur: St Thomas Mount:,5,1,30
Airport,Teynampet,24Min,@Blue: Airport: Meenambakkam: Nanganallur Road: Alandur: Guindy: Little Mount: Saidapet: Nandanam: Teynampet:,9,0,40
Airport,Thirumangalam,27Min,@Blue: Airport: Meenambakkam: Nanganallur Road:;@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT: Koyambedu: Thirumangalam:,11,1,45
Airport,Vadapalani,18Min,@Blue: Airport: Meenambakkam: Nanganallur Road:;@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani:,7,1,40
Alandur,AG-DMS,16Min,@Blue: Alandur: Guindy: Little Mount: Saidapet: Nandanam: Teynampet: AG-DMS:,7,0,30
Alandur,Airport,10Min,@Blue: Alandur: Nanganallur Road: Meenambakkam: Airport:,4,0,25
