Source,Destination,Duration,Route,Stations,Interchanges,Normal Fare,Concessional Fare(Sunday and national holiday)
Ameerpet,Victoria Memorial,33 Min,@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly: Nampally: Gandhi Bhavan: Osmania Medical College: MG Bus station: Malakpet: New Market: Musarambagh: Dilsukhnagar: Chaitanyapuri: Victoria Memorial:,16,0,45,45
Ameerpet,Yusuf Guda,5 Min,@Blue: Ameerpet: Madhura Nagar: Yusuf Guda:,3,0,15,15
Assembly,Ameerpet,12 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:,6,0,25,25
Assembly,Balanagar,24 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,12,0,40,40
Assembly,Begumpet,14 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:;@Blue: Begumpet:,7,1,30,30
Assembly,Bharat Nagar,20 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,10,0,35,35
Assembly,Chaitanyapuri,19 Min,@Red: Assembly: Nampally: Gandhi Bhavan: Osmania Medical College: MG Bus station: Malakpet: New Market: Musarambagh: Dilsukhnagar: Chaitanyapuri:,10,0,35,35
Assembly,Dilsukhnagar,17 Min,@Red: Assembly: Nampally: Gandhi Bhavan: Osmania Medical College: MG Bus station: Malakpet: New Market: Musarambagh: Dilsukhnagar:,9,0,30,30
Assembly,Durgam Chervu,29 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:;@Blue: Madhura Nagar: Yusuf Guda: Jubilee Hills Road No 5: Jubilee Hills Check Post: Pedamma Temple: Madhapur: Durgam Chervu:,13,1,40,40
Assembly,Erragadda,18 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda:,9,0,35,35
Assembly,ESI Hospital,16 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet: S R Nagar: ESI Hospital:,8,0,30,30
Assembly,Gandhi Bhavan,4 Min,@Red: Assembly: Nampally: Gandhi Bhavan:,3,0,10,10
Assembly,Habsiguda,33 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:;@Blue: Begumpet: Prakash Nagar: Rasool Pura: Paradise: Parade Grounds: Secunderabad: Mettuguda: Tarnaka: Habsiguda:,15,1,50,50
Assembly,Hitech City,31 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:;@Blue: Madhura Nagar: Yusuf Guda: Jubilee Hills Road No 5: Jubilee Hills Check Post: Pedamma Temple: Madhapur: Durgam Chervu: Hitech City:,14,1,45,45
Assembly,Irrum Manzil,7 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil:,4,0,15,15
Assembly,JNTU College,32 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar: Kukatpally: KPHB Colony: JNTU College:,15,0,45,45
Assembly,Jubilee Hills Check Post,22 Min,@Red: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:;@Blue: Madhura Nagar: Yusuf Guda: Jubilee Hills Road No 5: Jubilee Hills Check Post:,10,1,40,40
