Station Name,Line,Opened,Layout
SHYAM PARK, Red Line ,08-Mar-19,Elevated
SIKANDARPUR, Yellow Line  Rapid Metro Gurgaon ,21-Jun-10,Elevated
SIR VISHWESHWARAIAH MOTI BAGH, Pink Line ,06-Aug-18,Elevated
SOUTH EXTENSION, Pink Line ,06-Aug-18,Underground
SUBHASH NAGAR, Blue Line ,30-Dec-05,Elevated
SUKHDEV VIHAR, Magenta Line ,25-Dec-17,Elevated
SULTANPUR, Yellow Line ,21-Jun-10,Elevated
TAGORE GARDEN, Blue Line ,30-Dec-05,Elevated
TERMINAL 1-IGI AIRPORT, Magenta Line ,29-May-18,Underground
TIKRI BORDER, Green Line ,24-Jun-18,Elevated
TIKRI KALAN, Green Line ,24-Jun-18,Underground
TILAK NAGAR, Blue Line ,30-Dec-05,Elevated
TIS HAZARI, Red Line ,24-Dec-02,Elevated
TRILOKPURI - SANJAY LAKE, Pink Line ,31-Oct-18,Elevated
TUGHLAKABAD, Violet Line ,14-Jan-11,Elevated
UDYOG BHAWAN, Yellow Line ,03-Sep-10,Underground
UDYOG NAGAR, Green Line ,02-Apr-10,Elevated
UTTAM NAGAR EAST, Blue Line ,30-Dec-05,Elevated
UTTAM NAGAR WEST, Blue Line ,30-Dec-05,Elevated
VAISHALI, Blue Line branch ,14-Jul-11,Elevated
VASANT VIHAR, Magenta Line ,29-May-18,Underground
VIDHAN SABHA, Yellow Line ,20-Dec-04,Underground
VINOBAPURI, Pink Line ,31-Dec-18,Underground
VISHWAVIDYALAYA, Yellow Line ,20-Dec-04,Underground
WELCOME, Red Line ,24-Dec-02,At Grade
WELCOME, Pink Line ,31-Oct-18,Elevated
YAMUNA BANK, Blue Line ,10-May-09,At-Grade
YAMUNA BANK, Blue Line branch ,06-Jan-10,At-Grade
